,precision,recall,f1-score,support
0,0.28,0.6666666666666666,0.3943661971830986,21.0
1,0.86,0.5443037974683544,0.6666666666666666,79.0
accuracy,0.57,0.57,0.57,0.57
macro avg,0.5700000000000001,0.6054852320675106,0.5305164319248826,100.0
weighted avg,0.7382,0.57,0.6094835680751174,100.0
